hotel_id,city_id,city,hotel_name,user_rating,hotel_url,description,lat,lon
H023,C020,Cassis,Chambre d'hôtes Clos du Petit Jésus,10.0,https://www.booking.com/hotel/fr/clos-du-petit-ja-c-sus.fr.html,"Situé à Cassis, à seulement 5 minutes à pied de la plage, le Clos du Petit Jésus propose une piscine extérieure, une terrasse privée et un espace de bronzage. Les calanques de Cassis sont accessibles en 5 minutes en voiture.

Cette chambre double climatisée dispose d'une terrasse avec vue sur la piscine et la campagne, d'une télévision à écran plat, d'un lecteur DVD, d'un coffre-fort et d'une armoire. La salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gratuits.

Un petit-déjeuner continental composé de pain frais, de viennoiseries, de jus de fruits, de yaourts, de confiture, de fruits frais et de boissons chaudes est servi chaque matin. Il est servi sur la terrasse ou dans votre chambre.

Des massages et un service de garde d'enfants sont disponibles sur demande. Marseille se trouve à seulement 20 minutes de route et La Ciotat est à 15 minutes en voiture.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10,0pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.21524568880528,5.544667840003967
H087,C029,Carcassonne,"Le Petit Chai niché sous la Cité,",9.9,https://www.booking.com/hotel/fr/le-chai-niche-sous-la-cite.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Le Petit Chai niché sous la Cité,.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.Situé à Carcassonne, l’hébergement Le Petit Chai niché sous la Cité, offre une vue sur le jardin. Il propose un jardin, une terrasse et une connexion Wi-Fi gratuite. Occupant un bâtiment datant de 1692, cette maison de vacances est à 49 km de ce lieu d’intérêt : Termes Chateau.

Cette maison de vacances avec climatisation se compose de 1 chambre, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont mis à votre disposition.

L’établissement Le Petit Chai niché sous la Cité, dispose d’un bain à remous. Si vous souhaitez découvrir la région, vous aurez la possibilité de pratiquer la randonnée dans les environs.

Vous séjournerez à proximité de ces lieux d’intérêt : Comtal Castle, Memorial House (Maison des Memoires) et Cathédrale Saint-Michel de Carcassonne. L'aéroport le plus proche (Aéroport de Carcassonne) est à 5 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.205759,2.360957
H083,C029,Carcassonne,La Maison de La Tour Pinte,9.9,https://www.booking.com/hotel/fr/la-maison-de-la-tour-pinte.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement La Maison de La Tour Pinte.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.Profitez des services haut de gamme de l'établissement La Maison de La Tour PinteSitué à Carcassonne, l’hébergement avec climatisation La Maison de La Tour Pinte possède un balcon. Cette villa comprend une piscine privée, un jardin, un barbecue, un parking privé gratuit et une connexion Wi-Fi gratuite.

Cette villa comporte 4 chambres, 4 salles de bains, du linge de lit, des serviettes, une télévision à écran plat avec les chaînes du satellite, un coin repas, une cuisine entièrement équipée et une terrasse offrant une vue sur la piscine.

Vous pourrez profiter d’une piscine extérieure ouverte en saison sur place et pratiquer la randonnée ainsi que le vélo dans les environs.

Vous séjournerez à proximité de ces lieux d’intérêt : Comtal Castle, Memorial House (Maison des Memoires) et Cathédrale Saint-Michel de Carcassonne. L'aéroport le plus proche (Aéroport de Carcassonne) est à 5 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.205804180971,2.360998811045
H068,C026,Aigues Mortes,La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue,9.9,https://www.booking.com/hotel/fr/la-perle-rose-aigues-mortes.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.Situé à Aigues-Mortes, l’hébergement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue offre une vue sur le lac. Il comprend une piscine extérieure ouverte en saison, une terrasse, un casino et une connexion Wi-Fi gratuite. Cette villa possède une piscine privée, un jardin et un parking privé gratuit.

Cette villa avec climatisation comprend 3 chambres, ainsi que 2 salles de bains possédant une douche, un bain à remous et des articles de toilette gratuits. La cuisine est pourvue d’un réfrigérateur, d’un lave-vaisselle et d’un four. Elle est également dotée d’une machine à café et d’une bouilloire.

Le personnel de la réception ouverte 24h/24 se fera un plaisir de vous renseigner sur les environs.

L’établissement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue dispose d’un bain à remous. L’établissement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue dispose d’un parc aquatique.

Vous séjournerez à respectivement 24 km et 25 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 30 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.562118844645575,4.185999394659428
H086,C029,Carcassonne,Le Loft de La Tour Pinte,9.8,https://www.booking.com/hotel/fr/le-loft-de-la-tour-pinte.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Le Loft de La Tour Pinte.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.Offrant une vue sur la ville, l’hébergement Le Loft de La Tour Pinte propose une terrasse et un balcon, à environ 50 km de ce lieu d’intérêt : Termes Chateau. Cet hébergement offre une vue sur le jardin et met à votre disposition une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.

Cet appartement avec climatisation se compose de 3 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et un sèche-cheveux. Cet hébergement met à votre disposition des serviettes et du linge de lit.

Si vous souhaitez découvrir la région, vous aurez la possibilité de pratiquer la randonnée dans les environs. Un service de location de vélos est assuré sur place.

Vous séjournerez à respectivement 1,2 km et 500 mètres de ces lieux d’intérêt : Cathédrale Saint-Michel de Carcassonne et Comtal Castle. L'aéroport le plus proche (Aéroport de Carcassonne) est à 5 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.207188358573,2.361494517696
H070,C026,Aigues Mortes,La Maison Perrin,9.8,https://www.booking.com/hotel/fr/la-maison-perrin.fr.html,"Possédant une piscine extérieure ouverte en saison, un jardin, une terrasse et un bar, l’hébergement La Maison Perrin se trouve dans le quartier Aigues-Mortes Medieval City, à Aigues-Mortes. Il vous accueille à seulement 23 km de ce lieu d’intérêt : Parc des expositions de Montpellier. Cette maison de vacances possède également une piscine privée et une connexion Wi-Fi gratuite.

Cette maison de vacances avec climatisation se compose de 3 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 3 salles de bains avec une baignoire et un sèche-cheveux. Des serviettes et du linge de lit sont à votre disposition.

Vous séjournerez à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 30 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.5655093,4.1946234
H100,C029,Carcassonne,Situation exceptionnelle HARMONY III,9.8,https://www.booking.com/hotel/fr/harmony-3.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Situation exceptionnelle HARMONY III.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.L’établissement Situation exceptionnelle HARMONY III vous accueille à Carcassonne, à respectivement 200 mètres et 500 mètres de ces lieux d’intérêt : Cathédrale Saint-Michel de Carcassonne et IUT de Perpignan - Campus de Carcassonne. Il comprend une connexion Wi-Fi gratuite et offre une vue sur la ville.

Les hébergements comprennent la climatisation et une télévision à écran plat. Vous bénéficierez d’une cuisine entièrement équipée avec un coin repas, ainsi que d’une salle de bains privative comportant une douche, des articles de toilette gratuits et un sèche-cheveux. Un réfrigérateur, un lave-vaisselle et un four sont également à votre disposition, de même qu’une machine à café et une bouilloire.

Vous séjournerez à 200 mètres de ce lieu d’intérêt : Memorial House (Maison des Memoires). L'aéroport le plus proche (Aéroport de Carcassonne) est à 3 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,9pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.211813907974,2.352204980181
H040,C020,Cassis,Seaview.Cassis,9.7,https://www.booking.com/hotel/fr/seaview-cassis.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Seaview.Cassis.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.L’hébergement Seaview.Cassis se trouve à Cassis, à respectivement 600 mètres et 20 km de ces lieux d’intérêt : Plage de la Grande Mer et Orange Vélodrome. Il propose une connexion Wi-Fi gratuite et la climatisation. Cet appartement comprend un parking privé gratuit et se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée, la pêche et la plongée avec tuba.

Cet appartement comporte 1 chambre, 1 salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et un balcon offrant une vue sur la ville.

Vous pourrez pratiquer le vélo dans les environs.

Vous séjournerez à respectivement 20 km et 20 km de ces lieux d’intérêt : Métro Rond-point du Prado et Palais des congrès et des expositions Marseille Chanot. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 46 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10,0pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.2144315,5.5350758
H057,C028,Collioure,location Coma Chéric et parking,9.6,https://www.booking.com/hotel/fr/location-coma-cheric.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement location Coma Chéric et parking.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.L’établissement location Coma Chéric et parking se trouve à Collioure (Languedoc-Roussillon), à proximité de ces lieux d’intérêt : Plage Boutigue et Château Royal de Collioure. Il propose une connexion Wi-Fi gratuite et un parking privé gratuit.

Offrant une vue sur la montagne ou le jardin, tous les hébergements comprennent une cuisine, une armoire, un lave-linge et une télévision à écran plat par satellite avec un lecteur Blu-ray. Leur salle de bains privative possède une baignoire ou une douche et des articles de toilette gratuits. Un réfrigérateur, un lave-vaisselle et un four sont également disponibles, de même qu’une machine à café et une bouilloire.

Vous trouverez un parc aquatique sur place, et vous pourrez pratiquer la randonnée, la pêche et la plongée avec tuba dans les environs.

Vous séjournerez à respectivement 34 km et 3,5 km de ces lieux d’intérêt : Stade Gilbert-Brutus et Casino de Collioure. L'aéroport le plus proche (Aéroport de Perpignan - Rivesaltes) est à 42 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,4pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",42.52298110659616,3.0873043662110344
H084,C029,Carcassonne,"Au point du jour - Gîtes Carcassonne, Lac de la Cavayère",9.6,https://www.booking.com/hotel/fr/au-point-du-jour-gites-carcassonne-carcassonne.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Au point du jour - Gîtes Carcassonne, Lac de la Cavayère.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.L’établissement Au point du jour - Gîtes Carcassonne, Lac de la Cavayère vous accueille à Carcassonne, à respectivement 3,4 km et 7,7 km de ces lieux d’intérêt : Lac de la Cavayère et Comtal Castle. Il comprend une connexion Wi-Fi gratuite, la climatisation, une piscine extérieure ouverte en saison et un jardin.

L’établissement propose des hébergements avec vue sur la piscine, une terrasse, un coin salon et une télévision à écran plat. Vous bénéficierez d’une cuisine entièrement équipée avec un réfrigérateur et un lave-vaisselle, ainsi que d’une salle de bains privative avec une douche et un sèche-cheveux. Un four, un micro-ondes et une plaque de cuisson sont également à votre disposition, de même qu’une machine à café et une bouilloire.

Vous pourrez profiter d’un barbecue sur place et pratiquer la randonnée à proximité.

L'aéroport le plus proche (Aéroport de Carcassonne) est à 12 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,8pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.17858,2.4146219
