city_id,city,lat,lon,temp_max_c,temp_min_c,precip_mm,sunshine_h,wind_max_kmh,rh_mean_pct,temp_mean,weather_score,weather_score_norm
C001,Mont Saint Michel,48.6359541,-1.51146,15.01,10.51,2.19,4.62,116.79,85.43,12.76,3.1,3.68
C002,Saint Malo,48.649518,-2.0260409,15.27,10.9,0.57,4.98,114.74,83.71,13.08,3.75,5.31
C003,Bayeux,49.2764624,-0.7024738,14.6,10.09,2.59,4.19,98.43,87.0,12.34,2.88,3.13
C004,Le Havre,49.4938975,0.1079732,14.96,11.69,2.93,3.68,112.01,82.43,13.32,3.14,3.78
C005,Rouen,49.4404591,1.0939658,14.91,10.1,2.61,3.05,69.17,85.29,12.5,3.08,3.63
C006,Paris,48.8588897,2.320041,15.66,10.06,1.69,3.52,63.41,80.86,12.86,3.58,4.89
C007,Amiens,49.8941708,2.2956951,14.04,8.99,4.07,4.38,76.89,85.29,11.52,2.24,1.53
C008,Lille,50.6365654,3.0635282,13.6,8.67,5.57,4.33,76.47,86.14,11.14,1.63,0.0
C009,Strasbourg,48.584614,7.7507127,15.91,8.01,2.46,6.3,53.85,77.0,11.96,3.13,3.76
C010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,12.69,6.0,2.27,6.78,48.75,76.71,9.34,2.18,1.38
C011,Colmar,48.0777517,7.3579641,16.61,7.41,2.56,7.14,48.6,78.57,12.01,3.15,3.81
C012,Eguisheim,48.0447968,7.3079618,16.63,8.1,2.43,7.29,50.76,75.86,12.36,3.35,4.31
C013,Besancon,47.2380222,6.0243622,16.26,7.81,6.94,6.78,70.77,81.86,12.04,1.7,0.18
C014,Dijon,47.3215806,5.0414701,15.34,7.97,2.1,6.44,63.41,85.43,11.66,2.99,3.41
C015,Annecy,45.8992348,6.1288847,16.37,7.16,6.6,7.83,20.37,82.86,11.76,1.95,0.8
C016,Grenoble,45.1875602,5.7357819,18.4,9.51,5.71,7.56,38.57,74.86,13.95,3.08,3.63
C017,Lyon,45.7578137,4.8320114,17.63,9.2,2.51,7.66,58.58,80.71,13.42,3.67,5.11
C018,Gorges du Verdon,43.7496562,6.3285616,15.84,9.19,4.13,7.77,53.85,77.43,12.52,2.88,3.13
C019,Bormes les Mimosas,43.1506968,6.3419285,19.03,12.6,1.91,6.49,55.65,80.43,15.82,4.8,7.94
C020,Cassis,43.2140359,5.5396318,20.61,14.81,1.84,7.59,82.13,77.14,17.71,5.5,9.7
C021,Marseille,43.2961743,5.3699525,20.2,14.76,1.01,7.62,88.71,77.71,17.48,5.62,10.0
C022,Aix en Provence,43.5298424,5.4474738,19.94,11.3,0.81,7.85,64.75,78.14,15.62,5.06,8.6
C023,Avignon,43.9492493,4.8059012,19.97,11.83,1.74,7.04,73.59,75.57,15.9,4.86,8.1
C024,Uzes,44.0121279,4.4196718,19.13,9.56,1.99,6.22,63.05,82.14,14.34,4.13,6.27
C025,Nimes,43.8374249,4.3600687,19.8,11.57,1.51,6.26,66.19,77.71,15.68,4.84,8.05
C026,Aigues Mortes,43.5661521,4.19154,20.24,13.17,0.97,7.05,82.03,78.71,16.7,5.33,9.27
C027,Saintes Maries de la mer,43.4515922,4.4277202,19.36,13.73,3.31,6.79,118.23,81.71,16.55,4.35,6.82
C028,Collioure,42.52505,3.0831554,19.94,12.41,0.04,6.76,78.27,72.57,16.18,5.48,9.65
C029,Carcassonne,43.2130358,2.3491069,19.56,12.37,0.01,6.34,84.81,78.86,15.96,5.3,9.2
C030,Ariege,42.9455368,1.4065544,13.73,6.14,0.7,6.22,43.92,75.29,9.94,2.92,3.23
C031,Toulouse,43.6044638,1.4442433,18.83,11.46,0.54,7.77,48.6,81.29,15.14,4.99,8.42
C032,Montauban,44.0175835,1.3549991,17.83,9.66,0.83,7.43,36.51,86.57,13.74,4.35,6.82
C033,Biarritz,43.4711438,-1.5527266,19.57,13.74,3.61,6.66,84.65,71.0,16.66,4.58,7.39
C034,Bayonne,43.4945144,-1.4736657,20.0,13.44,4.21,6.31,79.05,73.29,16.72,4.42,6.99
C035,La Rochelle,46.159732,-1.1515951,16.51,12.47,3.6,5.73,94.94,85.14,14.49,3.5,4.69
